year,sector,shap_value,direction,sector_label
2011,unemployment_rate,-3.435865640640259,negative,Labor Market
2012,industry_va_pct_gdp,1.837070345878601,positive,Industry
2012,agriculture_va_pct_gdp,1.0125991106033325,positive,Agriculture
2012,brent_annual_avg_usd,0.2792004644870758,positive,Oil Price
2012,trade_pct_gdp,-0.0027679400518536568,negative,Trade
2012,gross_capital_formation_pct,-0.5992947816848755,negative,Investment
2012,services_va_pct_gdp,-1.0711556673049927,negative,Services
2012,unemployment_rate,-3.1313374042510986,negative,Labor Market
2013,industry_va_pct_gdp,1.9191200733184814,positive,Industry
2013,agriculture_va_pct_gdp,1.3346549272537231,positive,Agriculture
2013,brent_annual_avg_usd,1.0219645500183105,positive,Oil Price
2013,trade_pct_gdp,0.6034277677536011,positive,Trade
2013,gross_capital_formation_pct,0.3458232283592224,positive,Investment
2013,services_va_pct_gdp,-0.9039157032966614,negative,Services
2013,unemployment_rate,-2.807391881942749,negative,Labor Market
2014,agriculture_va_pct_gdp,1.2705599069595337,positive,Agriculture
2014,brent_annual_avg_usd,0.964804470539093,positive,Oil Price
2014,industry_va_pct_gdp,0.7192935943603516,positive,Industry
2014,gross_capital_formation_pct,0.15212608873844147,positive,Investment
2014,trade_pct_gdp,-0.6366567015647888,negative,Trade
2014,services_va_pct_gdp,-1.0248453617095947,negative,Services
2014,unemployment_rate,-2.392484664916992,negative,Labor Market
2015,agriculture_va_pct_gdp,1.8588337898254395,positive,Agriculture
2015,gross_capital_formation_pct,0.29725754261016846,positive,Investment
2015,brent_annual_avg_usd,0.2817692756652832,positive,Oil Price
2015,trade_pct_gdp,0.12057410925626755,positive,Trade
2015,industry_va_pct_gdp,-0.2609257102012634,negative,Industry
2015,services_va_pct_gdp,-2.394421339035034,negative,Services
2015,unemployment_rate,-2.674894094467163,negative,Labor Market
2016,agriculture_va_pct_gdp,1.4438672065734863,positive,Agriculture
2016,gross_capital_formation_pct,0.032594822347164154,positive,Investment
2016,industry_va_pct_gdp,-0.44844573736190796,negative,Industry
2016,trade_pct_gdp,-0.8310924768447876,negative,Trade
2016,brent_annual_avg_usd,-0.8911523818969727,negative,Oil Price
2016,services_va_pct_gdp,-2.521683931350708,negative,Services
2016,unemployment_rate,-3.374682903289795,negative,Labor Market
2017,agriculture_va_pct_gdp,1.6261600255966187,positive,Agriculture
2017,brent_annual_avg_usd,0.640136182308197,positive,Oil Price
2017,gross_capital_formation_pct,0.09586852043867111,positive,Investment
2017,industry_va_pct_gdp,-0.025754084810614586,negative,Industry
2017,trade_pct_gdp,-0.842059314250946,negative,Trade
2017,services_va_pct_gdp,-2.2276570796966553,negative,Services
2017,unemployment_rate,-3.0883047580718994,negative,Labor Market
2018,agriculture_va_pct_gdp,1.1882513761520386,positive,Agriculture
2018,brent_annual_avg_usd,1.0563992261886597,positive,Oil Price
2018,industry_va_pct_gdp,0.8577559590339661,positive,Industry
2018,gross_capital_formation_pct,-0.3290885090827942,negative,Investment
2018,trade_pct_gdp,-1.0156686305999756,negative,Trade
2018,services_va_pct_gdp,-1.0966295003890991,negative,Services
2018,unemployment_rate,-2.9860732555389404,negative,Labor Market
2019,agriculture_va_pct_gdp,1.833977222442627,positive,Agriculture
2019,brent_annual_avg_usd,1.2934690713882446,positive,Oil Price
2019,industry_va_pct_gdp,0.3600485026836395,positive,Industry
2019,gross_capital_formation_pct,-0.2918235659599304,negative,Investment
2019,trade_pct_gdp,-0.41075393557548523,negative,Trade
2019,services_va_pct_gdp,-1.4473152160644531,negative,Services
2019,unemployment_rate,-3.0438098907470703,negative,Labor Market
2020,agriculture_va_pct_gdp,1.7969393730163574,positive,Agriculture
2020,unemployment_rate,-0.4420195519924164,negative,Labor Market
2020,brent_annual_avg_usd,-0.6345127820968628,negative,Oil Price
2020,gross_capital_formation_pct,-0.9285891056060791,negative,Investment
2020,trade_pct_gdp,-1.6853705644607544,negative,Trade
2020,services_va_pct_gdp,-2.687281608581543,negative,Services
2020,industry_va_pct_gdp,-2.917855739593506,negative,Industry
2021,agriculture_va_pct_gdp,2.0875959396362305,positive,Agriculture
2021,brent_annual_avg_usd,0.9712679386138916,positive,Oil Price
2021,industry_va_pct_gdp,0.28517216444015503,positive,Industry
2021,trade_pct_gdp,0.24137233197689056,positive,Trade
2021,unemployment_rate,0.1649772673845291,positive,Labor Market
2021,gross_capital_formation_pct,-0.5199217200279236,negative,Investment
2021,services_va_pct_gdp,-1.2436758279800415,negative,Services
2022,industry_va_pct_gdp,1.3143725395202637,positive,Industry
2022,agriculture_va_pct_gdp,0.9836060404777527,positive,Agriculture
2022,brent_annual_avg_usd,0.9762675166130066,positive,Oil Price
2022,unemployment_rate,-0.2734091579914093,negative,Labor Market
2022,trade_pct_gdp,-0.4500553607940674,negative,Trade
2022,services_va_pct_gdp,-0.8398734927177429,negative,Services
2022,gross_capital_formation_pct,-0.9463509917259216,negative,Investment
2023,agriculture_va_pct_gdp,1.2685474157333374,positive,Agriculture
2023,brent_annual_avg_usd,0.9697393178939819,positive,Oil Price
2023,industry_va_pct_gdp,0.11154351383447647,positive,Industry
2023,trade_pct_gdp,-0.31557950377464294,negative,Trade
2023,gross_capital_formation_pct,-0.5606881976127625,negative,Investment
2023,unemployment_rate,-1.6352607011795044,negative,Labor Market
2023,services_va_pct_gdp,-2.1059978008270264,negative,Services
2024,agriculture_va_pct_gdp,1.9397751092910767,positive,Agriculture
2024,brent_annual_avg_usd,1.1358023881912231,positive,Oil Price
2024,industry_va_pct_gdp,0.0016976520419120789,positive,Industry
2024,trade_pct_gdp,-0.18322671949863434,negative,Trade
2024,gross_capital_formation_pct,-0.2935473620891571,negative,Investment
2024,unemployment_rate,-0.5051868557929993,negative,Labor Market
2024,services_va_pct_gdp,-2.3591182231903076,negative,Services
